id	pop	ins	lat	lng
SVN	3	2	46.115548	14.804442
163	0	0	0.000000	0.000000
IDN	1	1	-2.215055	117.240114
EGY	2	2	26.495933	29.861901
199	0	0	0.000000	0.000000
JAM	0	0	18.156949	-77.314826
ZWE	0	0	-19.004204	29.851441
CRI	0	0	9.976345	-84.192088
MLI	0	0	17.345816	-3.542691
CAN	53	33	61.362063	-98.307770
NZL	6	4	-41.811136	171.484923
203	0	0	0.000000	0.000000
TUN	1	1	34.119562	9.552884
TLS	0	0	-8.828892	125.844390
BTN	0	0	27.411066	90.401882
SOL	0	0	9.733455	46.251984
NIC	0	0	12.847094	-85.030530
GNQ	0	0	1.705551	10.341379
IND	46	45	22.885782	79.611976
ECU	1	1	-1.423816	-78.752019
PSE	0	0	0.000000	0.000000
PRK	0	0	40.153503	127.192480
DJI	0	0	11.748718	42.560675
BEN	0	0	9.641760	2.327853
153	0	0	0.000000	0.000000
GRL	0	0	74.710513	-41.341911
BHS	0	0	24.290367	-76.628430
POL	7	7	52.127596	19.390128
DNK	18	13	55.981253	10.028010
NPL	0	0	28.248914	83.915826
211	0	0	0.000000	0.000000
194	0	0	0.000000	0.000000
PHL	1	1	11.775368	122.883933
CZE	1	1	49.733412	15.312402
173	1	1	0.000000	0.000000
GNB	0	0	12.047449	-14.949724
SGP	49	27	1.358761	103.817256
235	0	0	0.000000	0.000000
221	0	0	0.000000	0.000000
ARM	0	0	40.289526	44.929933
216	0	0	0.000000	0.000000
ISL	0	0	64.995754	-18.573962
227	0	0	0.000000	0.000000
JPN	51	31	37.592301	138.030896
JOR	1	1	31.245791	36.771361
BIH	0	0	44.174501	17.768767
DOM	0	0	18.894331	-70.505689
GHA	1	1	7.953456	-1.216766
NER	0	0	17.419125	9.385459
MDA	0	0	47.194988	28.456734
ISR	23	16	31.461101	35.004447
BDI	0	0	-3.359397	29.875122
SRB	1	1	44.221503	20.789583
202	0	0	0.000000	0.000000
ITA	24	24	42.796626	12.070013
PER	7	5	-9.152804	-74.382427
ZAF	2	2	-29.000341	25.083901
CMR	0	0	5.691098	12.739642
RWA	0	0	-1.990338	29.919885
THA	5	3	15.118158	101.002881
TUR	35	27	39.061603	35.168953
ALB	0	0	41.142450	20.049834
196	0	0	0.000000	0.000000
KOR	41	33	36.385240	127.839161
VUT	0	0	-16.226409	167.686446
149	0	0	0.000000	0.000000
GRC	2	2	39.074696	22.955558
QAT	2	1	25.306012	51.184796
CAF	0	0	6.568233	20.468268
MRT	0	0	20.257367	-10.347798
GEO	0	0	42.168558	43.507803
NCL	0	0	-21.299918	165.684924
236	0	0	0.000000	0.000000
SVK	0	0	48.705475	19.479052
224	0	0	0.000000	0.000000
TZA	1	1	-6.275654	34.813100
CHE	30	21	46.797859	8.208675
226	0	0	0.000000	0.000000
222	0	0	0.000000	0.000000
SLE	0	0	8.563296	-11.792712
BGD	2	1	23.867312	90.238127
ESH	0	0	0.000000	0.000000
193	0	0	0.000000	0.000000
URY	0	0	-32.799515	-56.018071
VEN	0	0	7.124224	-66.181841
UKR	4	4	48.996567	31.383265
NAM	0	0	-22.130326	17.209636
RUS	10	9	61.980522	96.686561
COD	0	0	-2.877463	23.643961
